callType,startTime,msgTime,elapsedTime,success,traceId,id,pid,cmdb_id,serviceName
CSF,1590768000082,1590768000968,886.0,True,37bd717261295c467616,8073017261295c527619,cb48b17261295c467617,os_021,csf_001
CSF,1590768000083,1590768000689,606.0,True,2ebb417261295c4b7578,cbd6817261295c537581,b587f17261295c4b7579,os_021,csf_001
CSF,1590768000084,1590768001302,1218.0,True,1b6e017261295c4a7494,2097f17261295c547497,0be0917261295c4a7495,os_021,csf_001
CSF,1590768000086,1590768000808,722.0,True,ecda617261295c4c8924,4dc5417261295c568927,e28b417261295c4c8925,os_021,csf_001
CSF,1590768000103,1590768000264,160.0,True,37bd717261295c467616,fca3117261295c679826,62e7817261295c589816,docker_004,csf_002
CSF,1590768000108,1590768000263,155.0,True,2ebb417261295c4b7578,8082b17261295c6a9828,19fda17261295c589820,docker_004,csf_002
CSF,1590768000113,1590768000262,149.0,True,ecda617261295c4c8924,61da817261295c705909,47ab117261295c5c5901,docker_003,csf_002
CSF,1590768000113,1590768000263,150.0,True,1b6e017261295c4a7494,afa8d17261295c705907,bb99317261295c5a5897,docker_003,csf_002
CSF,1590768000267,1590768000442,175.0,True,ecda617261295c4c8924,90af017261295d0a5911,47ab117261295c5c5901,docker_003,csf_003
CSF,1590768000267,1590768000440,173.0,True,1b6e017261295c4a7494,11f6117261295d0b5913,bb99317261295c5a5897,docker_003,csf_003
