itemid,name,bomc_id,timestamp,value,cmdb_id
999999998651100,MEM_real_util,ZJ-002-053,1590768000000,43.65,db_007
999999998651280,CPU_free_pct,ZJ-002-056,1590768000000,98.358754,db_008
999999998650680,CPU_free_pct,ZJ-002-056,1590768000000,96.543267,db_001
999999998650980,CPU_free_pct,ZJ-002-056,1590768000000,96.581263,db_003
999999996512461,tnsping_result_time,ZJ-002-031,1590768001000,20.0,db_010
999999996381601,CPU_free_pct,ZJ-002-056,1590768001000,95.64348299999999,db_009
999999998650826,CPU_Used_Pct,ZJ-002-024,1590768001000,3.324433,db_002
999999996381663,MEM_real_util,ZJ-002-053,1590768003000,9.05,db_009
999999996512464,CPU_free_pct,ZJ-002-056,1590768004000,91.41235999999999,db_010
999999996512460,CPU_Used_Pct,ZJ-002-024,1590768005000,7.681869,db_010
999999996512526,MEM_real_util,ZJ-002-053,1590768006000,57.06,db_010
999999998651048,MEM_Used,ZJ-002-052,1590768008000,247.285969,db_007
999999996512769,MEM_Used,ZJ-002-052,1590768009000,350.380091,db_013
999999998651049,MEM_Total,ZJ-002-055,1590768009000,506.929929,db_007
