itemid,name,bomc_id,timestamp,value,cmdb_id
999999996381288,container_cpu_used,ZJ-004-059,1590768012000,0.0,docker_006
999999996381284,container_mem_used,ZJ-004-060,1590768012000,93.0,docker_006
999999996381286,container_fgc,ZJ-004-103,1590768012000,0.0,docker_006
999999996381277,container_thread_idle,ZJ-004-063,1590768012000,0.0,docker_006
999999996381275,container_thread_total,ZJ-004-064,1590768012000,0.0,docker_006
999999996381278,container_session_used,ZJ-004-058,1590768012000,0.0,docker_006
999999996353970,container_thread_used_pct,ZJ-004-061,1590768012000,0.0,docker_006
999999996381276,container_thread_running,ZJ-004-062,1590768012000,0.0,docker_006
999999996381287,container_fgct,ZJ-004-104,1590768012000,0.0,docker_006
999999996381344,container_thread_total,ZJ-004-064,1590768014000,0.0,docker_001
999999996381356,container_fgct,ZJ-004-104,1590768014000,0.0,docker_001
999999996381347,container_session_used,ZJ-004-058,1590768014000,0.0,docker_001
999999996381357,container_cpu_used,ZJ-004-059,1590768014000,1.0,docker_001
999999996381346,container_thread_idle,ZJ-004-063,1590768014000,0.0,docker_001
